id,r_0,b_0,r_1,b_1,r_2,b_2,r_3,b_3,r_4,b_4,r_5,b_5,r_6,b_6,r_7,b_7,r_8,b_8,r_9,b_9,r_10,b_10,r_11,b_11,r_12,b_12,r_13,b_13,r_14,b_14,r_15,b_15,r_16,b_16,r_17,b_17,r_18,b_18,r_19,b_19,r_20,b_20,r_21,b_21,r_22,b_22,r_23,b_23,r_24,b_24,r_25,b_25,r_26,b_26,r_27,b_27
root/b/eslint-reporter-verbose.js,0.08157215527376725,0.08157215527376728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root/b/eslint-reporter.js,0.23291629948883033,0.23291629948883033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root/b/jscs-reporter-verbose.js,0.18366873160921934,0.009195663693528795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root/b/jscs-reporter.js,0.11120847178512513,0.07430154143557195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root/dex.js,0.14285714285714285,0.14285714285714285,0.6666666666666664,0.3333333333333333,0.7499999999999984,0.2217437627647548,0.0,0.0,0.125,0.125,0.0,0.0,0.375,0.0,0.06464763918252285,0.06464763918252288,0.007333333333333381,0.007333333333333325,0.028754689754689654,0.028754689754689654,0.0,0.0,0.0,0.0,0.11177146565414722,0.026419952628415577,0.05083798882681565,0.008173227579422687,0.006384676775738253,0.006384676775738253,0.10700830559719132,0.10700830559719132,0.0,0.0,0.10878071847295614,0.10878071847295614,0.10923598252860464,0.10923598252860464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002213766862678038,0.0002213766862678038,0.025842870723607088,0.025842870723607088,0.0,0.0,0.0007291936738398183,0.0007291936738398183,0.0,0.0
root/n/cmd.js,0.08804674849005587,0.08804674849005631,0.13125583566760038,0.0499845319653964,0.25,0.0,0.0,0.0,0.05295533203547526,0.05295533203547526,0.0031504548820471615,0.0031504548820471615,0.38686131386861355,0.3953290952894616,0.004830357832908261,0.004830357832908261,0.033333333333333326,0.0010156971375808288,0.13268698060941828,0.13268698060941828,0.0,0.0,0.0,0.0,0.11167687959931727,0.1179263266207998,0.1639879183996831,0.0026319741583651544,0.09459009028592961,0.09459009028592961,0.0740079516782629,0.0740079516782629,0.0,0.0,0.0007689535023430132,0.0007689535023430132,0.1764139533020946,0.1764139533020946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14322344322344321,0.14322344322344321,0.004342714756507844,0.004342714756507844,0.0,0.0,0.007947137235471859,0.007947137235471859,0.0,0.0
root/n/update-authors.sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15459009028592932,0.15459009028592932,0.13400795167826265,0.13400795167826265,0.0,0.0,0.0007689535023429978,0.0007689535023429978,0.154985381873523,0.154985381873523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12179487179487174,0.12179487179487174,0.004342714756507852,0.004342714756507852,0.0,0.0,0.007947137235471854,0.007947137235471854,0.0,0.0
root/ravis.yml,0.03158635434850277,0.010069599498414612,0.05643090569561151,0.0569289764098411,0.009328358208955195,0.0,0.0,0.0,0.031006651524984025,0.031006651524984025,0.006104212948270002,0.006104212948270002,0.5752322495023228,0.25991335677247807,0.05373854827343198,0.05373854827343201,0.08733333333333342,0.007333333333333347,0.16690909090909106,0.16690909090909106,0.0,0.0,0.0,0.0,0.17470797359065532,0.10513198667014294,0.050837988826815665,0.0344478574540739,0.0685695507253181,0.0685695507253181,0.06236544845433421,0.06236544845433421,0.0,0.0,0.09775130670825027,0.09775130670825027,0.03646322935954065,0.03646322935954065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009906606710481072,0.009906606710481072,0.01453334691408328,0.01453334691408328,0.0,0.0,0.0007291936738398104,0.0007291936738398104,0.0,0.0
root/st.js,0.15110488639900405,0.008247743541861197,0.42345831133016487,0.0020759977351047696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root/st/api.js,,,,,,,0.0,0.0,0.1556176567234772,0.1556176567234772,0.01074343434570274,0.01074343434570274,0.12064699413489736,0.1408108686806655,0.024806201550387617,0.024806201550387617,0.20000000000000032,0.00391111111111111,0.3000000000000004,0.3000000000000004,0.0,0.0,0.0,0.0,0.42385045122475284,0.12627034966529074,0.04770090244950586,0.1668300675944918,0.017745871446988772,0.017745871446988772,0.26662824837553434,0.26662824837553434,0.0,0.0,0.2615048674065267,0.2615048674065267,0.2706629147307113,0.2706629147307113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005119335869941478,0.0005119335869941478,0.01315685180346836,0.01315685180346836,0.0,0.0,0.0030910609857978666,0.0030910609857978666,0.0,0.0
