id,r_0,b_0,r_1,b_1,r_2,b_2,r_3,b_3,r_4,b_4,r_5,b_5,r_6,b_6,r_7,b_7,r_8,b_8,r_9,b_9,r_10,b_10,r_11,b_11,r_12,b_12,r_13,b_13,r_14,b_14,r_15,b_15,r_16,b_16,r_17,b_17,r_18,b_18,r_19,b_19,r_20,b_20,r_21,b_21,r_22,b_22,r_23,b_23,r_24,b_24,r_25,b_25,r_26,b_26,r_27,b_27,r_28,b_28,r_29,b_29,r_30,b_30,r_31,b_31,r_32,b_32,r_33,b_33,r_34,b_34,r_35,b_35,r_36,b_36,r_37,b_37,r_38,b_38,r_39,b_39,r_40,b_40,r_41,b_41,r_42,b_42,r_43,b_43,r_44,b_44,r_45,b_45,r_46,b_46,r_47,b_47,r_48,b_48,r_49,b_49,r_50,b_50,r_51,b_51,r_52,b_52,r_53,b_53,r_54,b_54,r_55,b_55,r_56,b_56,r_57,b_57,r_58,b_58,r_59,b_59,r_60,b_60,r_61,b_61,r_62,b_62,r_63,b_63,r_64,b_64,r_65,b_65,r_66,b_66,r_67,b_67,r_68,b_68,r_69,b_69,r_70,b_70,r_71,b_71,r_72,b_72,r_73,b_73,r_74,b_74,r_75,b_75,r_76,b_76,r_77,b_77,r_78,b_78,r_79,b_79,r_80,b_80,r_81,b_81,r_82,b_82,r_83,b_83,r_84,b_84,r_85,b_85,r_86,b_86,r_87,b_87,r_88,b_88,r_89,b_89,r_90,b_90,r_91,b_91,r_92,b_92,r_93,b_93,r_94,b_94,r_95,b_95,r_96,b_96,r_97,b_97,r_98,b_98,r_99,b_99,r_100,b_100,r_101,b_101,r_102,b_102,r_103,b_103,r_104,b_104,r_105,b_105,r_106,b_106,r_107,b_107,r_108,b_108,r_109,b_109,r_110,b_110,r_111,b_111,r_112,b_112,r_113,b_113,r_114,b_114,r_115,b_115,r_116,b_116,r_117,b_117,r_118,b_118,r_119,b_119,r_120,b_120,r_121,b_121,r_122,b_122,r_123,b_123,r_124,b_124,r_125,b_125,r_126,b_126,r_127,b_127,r_128,b_128,r_129,b_129,r_130,b_130,r_131,b_131,r_132,b_132,r_133,b_133,r_134,b_134,r_135,b_135,r_136,b_136,r_137,b_137,r_138,b_138,r_139,b_139,r_140,b_140,r_141,b_141,r_142,b_142,r_143,b_143,r_144,b_144,r_145,b_145,r_146,b_146,r_147,b_147,r_148,b_148,r_149,b_149,r_150,b_150,r_151,b_151,r_152,b_152,r_153,b_153,r_154,b_154,r_155,b_155,r_156,b_156,r_157,b_157,r_158,b_158,r_159,b_159,r_160,b_160,r_161,b_161,r_162,b_162,r_163,b_163,r_164,b_164,r_165,b_165,r_166,b_166,r_167,b_167,r_168,b_168,r_169,b_169,r_170,b_170,r_171,b_171,r_172,b_172,r_173,b_173,r_174,b_174,r_175,b_175,r_176,b_176,r_177,b_177,r_178,b_178,r_179,b_179,r_180,b_180,r_181,b_181,r_182,b_182,r_183,b_183,r_184,b_184,r_185,b_185,r_186,b_186,r_187,b_187,r_188,b_188,r_189,b_189,r_190,b_190,r_191,b_191,r_192,b_192,r_193,b_193,r_194,b_194,r_195,b_195,r_196,b_196,r_197,b_197,r_198,b_198,r_199,b_199,r_200,b_200,r_201,b_201,r_202,b_202,r_203,b_203,r_204,b_204,r_205,b_205,r_206,b_206,r_207,b_207,r_208,b_208,r_209,b_209,r_210,b_210,r_211,b_211,r_212,b_212,r_213,b_213,r_214,b_214,r_215,b_215,r_216,b_216,r_217,b_217,r_218,b_218,r_219,b_219,r_220,b_220,r_221,b_221,r_222,b_222,r_223,b_223,r_224,b_224,r_225,b_225,r_226,b_226,r_227,b_227,r_228,b_228,r_229,b_229,r_230,b_230,r_231,b_231,r_232,b_232,r_233,b_233,r_234,b_234,r_235,b_235,r_236,b_236,r_237,b_237,r_238,b_238,r_239,b_239,r_240,b_240,r_241,b_241,r_242,b_242,r_243,b_243,r_244,b_244,r_245,b_245,r_246,b_246,r_247,b_247,r_248,b_248,r_249,b_249,r_250,b_250,r_251,b_251,r_252,b_252,r_253,b_253,r_254,b_254,r_255,b_255,r_256,b_256,r_257,b_257,r_258,b_258,r_259,b_259,r_260,b_260,r_261,b_261,r_262,b_262,r_263,b_263,r_264,b_264,r_265,b_265,r_266,b_266,r_267,b_267,r_268,b_268,r_269,b_269,r_270,b_270,r_271,b_271,r_272,b_272,r_273,b_273,r_274,b_274,r_275,b_275,r_276,b_276,r_277,b_277,r_278,b_278,r_279,b_279,r_280,b_280,r_281,b_281,r_282,b_282,r_283,b_283,r_284,b_284,r_285,b_285,r_286,b_286,r_287,b_287,r_288,b_288,r_289,b_289,r_290,b_290,r_291,b_291,r_292,b_292,r_293,b_293,r_294,b_294,r_295,b_295,r_296,b_296,r_297,b_297,r_298,b_298,r_299,b_299,r_300,b_300,r_301,b_301,r_302,b_302,r_303,b_303,r_304,b_304,r_305,b_305,r_306,b_306,r_307,b_307,r_308,b_308,r_309,b_309,r_310,b_310,r_311,b_311,r_312,b_312,r_313,b_313,r_314,b_314,r_315,b_315,r_316,b_316,r_317,b_317,r_318,b_318,r_319,b_319,r_320,b_320,r_321,b_321,r_322,b_322,r_323,b_323,r_324,b_324,r_325,b_325,r_326,b_326,r_327,b_327,r_328,b_328,r_329,b_329,r_330,b_330,r_331,b_331,r_332,b_332,r_333,b_333,r_334,b_334,r_335,b_335,r_336,b_336,r_337,b_337,r_338,b_338,r_339,b_339,r_340,b_340,r_341,b_341,r_342,b_342,r_343,b_343,r_344,b_344,r_345,b_345,r_346,b_346,r_347,b_347,r_348,b_348,r_349,b_349,r_350,b_350,r_351,b_351,r_352,b_352,r_353,b_353,r_354,b_354,r_355,b_355,r_356,b_356,r_357,b_357,r_358,b_358,r_359,b_359,r_360,b_360,r_361,b_361,r_362,b_362,r_363,b_363,r_364,b_364,r_365,b_365,r_366,b_366,r_367,b_367,r_368,b_368,r_369,b_369,r_370,b_370,r_371,b_371,r_372,b_372,r_373,b_373,r_374,b_374,r_375,b_375,r_376,b_376,r_377,b_377,r_378,b_378,r_379,b_379,r_380,b_380,r_381,b_381,r_382,b_382,r_383,b_383,r_384,b_384,r_385,b_385,r_386,b_386,r_387,b_387,r_388,b_388,r_389,b_389,r_390,b_390,r_391,b_391,r_392,b_392,r_393,b_393,r_394,b_394,r_395,b_395,r_396,b_396,r_397,b_397,r_398,b_398,r_399,b_399,r_400,b_400,r_401,b_401,r_402,b_402,r_403,b_403,r_404,b_404,r_405,b_405,r_406,b_406,r_407,b_407,r_408,b_408,r_409,b_409,r_410,b_410,r_411,b_411,r_412,b_412,r_413,b_413,r_414,b_414,r_415,b_415,r_416,b_416,r_417,b_417,r_418,b_418,r_419,b_419,r_420,b_420,r_421,b_421,r_422,b_422,r_423,b_423,r_424,b_424,r_425,b_425,r_426,b_426,r_427,b_427,r_428,b_428,r_429,b_429,r_430,b_430,r_431,b_431,r_432,b_432,r_433,b_433,r_434,b_434,r_435,b_435,r_436,b_436,r_437,b_437,r_438,b_438,r_439,b_439,r_440,b_440,r_441,b_441,r_442,b_442,r_443,b_443,r_444,b_444,r_445,b_445,r_446,b_446,r_447,b_447,r_448,b_448,r_449,b_449,r_450,b_450,r_451,b_451
root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root//1,0.09377777143483004,0.024766362802882767,0.0944722434287286,0.02923894769229076,0.1589783933408876,0.03170770639313139,0.22274104978909456,0.01835376185992798,0.27046518707334216,0.05305888557277922,0.26260275200386063,0.036496810322147716,0.08877577301573089,0.05610963752701329,0.48388494879496063,0.09116801576863577,0.5631242688665504,0.09155694636777721,0.16859112585025823,0.02168201872376823,0.6476678909749246,0.017555420635502045,0.5644442219328932,0.055527579910281996,0.12834879370076077,0.027135834141798723,0.4348057455599469,0.03903943283021548,0.5068061491036531,0.04984941791293103,0.11027919309852428,0.05394623146979551,0.5372075918919651,0.059348612835956396,0.07793366458380249,0.025297609887768545,0.3250504628834775,0.020482707418648504,0.3622281243477753,0.09018980537871642,0.5710961767288144,0.010984950966986826,0.49755716554988766,0.07322029101789292,0.08573438128925977,0.041981754600287816,0.31837094989423803,0.04051808880119657,0.42220417681293543,0.04119832559923364,0.5825884748780411,0.05776774401653109,0.7120299343920665,0.018053525480663888,0.26286176874521483,0.016063136488964444,0.26656370084252967,0.05178771934680903,0.3522599037808978,0.04741591048385523,,,,,0.10876918711770525,0.04365031647570757,0.12345150222850887,0.018831598049322527,0.5770506774991131,0.03571603443446396,0.3906270036162689,0.05185289297275843,0.30269709922899246,0.04408995145465397,0.4132390049377066,0.05521500933082033,0.2676514460754272,0.06541180535471748,0.4632503641925327,0.033202165818824333,0.4516476675395925,0.02555825313445493,0.21031640318362255,0.029850700962471034,0.3290406892982231,0.04809133301801924,0.3004758592439599,0.023935929884081334,0.11173312537725465,0.05932034074838514,0.26457066549747743,0.07699038061598089,0.2994013990143534,0.03021657954162613,0.2666297774853053,0.028303926554245937,,,,,0.45642648154802556,0.09069334482253572,0.23021008396166903,0.022829593712050608,0.13275488299855592,0.029397931032484677,0.21895834675906606,0.04239351840299936,,,,,0.20130989419998185,0.04198883204521077,0.2117704212667707,0.01692034252417181,0.1477579150134505,0.035047604341213755,0.45888963439406183,0.026477135680667955,0.25718364848830505,0.036717192249791045,0.35228713822669855,0.0253443503530574,0.05580411662940971,0.023086398779992152,0.41071385626774465,0.07387378237480438,0.3562719332672445,0.0419063557950354,0.5517511336519564,0.028177218105586734,0.41806982270771376,0.025589855616800126,0.37521093590588334,0.0653021264598125,0.32873701459005766,0.016539980243355675,0.3842025490282973,0.047145084879599695,0.20368184015181806,0.09678998041701226,0.2058760147589754,0.03430275138222069,0.003159440032351851,0.025443307851980082,0.5150827194331076,0.04139274884011406,0.42320671307830926,0.06357850301705492,0.18707755795077116,0.0641182808287988,,,,,,,,,,,0.002974115599745002,0.05712023761891935,0.17981507291436472,0.05775551955635435,0.30415457979521365,0.07041261747505127,0.1734965342462294,0.021459272906079296,0.28848639228966133,0.02400409913192539,,,,,,,,,,,,,0.06156815876756133,0.03293187459530111,0.2544810653556263,0.06047205031038393,0.29935647672262317,0.08283075169874762,,,,,0.597168111678372,0.02275199903336638,0.5915060291051282,0.041489049683961304,0.18472812984196652,0.04647191928243614,0.19965753483555215,0.06007039335372543,0.0888902111694081,0.04432139651850005,0.40391406226302273,0.04176059761477997,0.38709398230308867,0.05371216381079152,0.20166652003597815,0.06936299447717333,0.4091025424954164,0.0522204504495614,0.5379105180053569,0.13882561026181922,0.48907205785653096,0.06275573563388828,0.3439971547767502,0.04771092950693377,0.4405578943425655,0.05150484231695958,0.4730464615547828,0.03465611322378611,0.40151926161785095,0.04583962850817659,0.5179712616104225,0.1053450213306817,0.5533106184860663,0.05356050561154552,0.3674435679939509,0.03511146373933382,0.16514285052290167,0.017407601624827955,0.26571165870562935,0.09740549106556458,0.3936751894650088,0.0593437900022862,0.2931463148797372,0.04651620627242596,0.5331646746437789,0.013751632209757982,0.5560964605755933,0.045283564257480896,0.12279359953372451,0.03194612130853099,0.5135039879909861,0.04293406178198448,0.2775098294820398,0.025129342447936267,0.09521668480644857,0.04309755513995763,,,,,,,,,0.6269578050772994,0.020382070683194385,0.3820823056410156,0.03421175498928164,0.12644285258120672,0.035680979329050316,0.4537113825200386,0.024048201500120898,0.2859857129899915,0.03830627908230262,0.4112082536745301,0.04815493068422861,0.29228393335548697,0.031305134395898375,0.7451542292859583,0.01092695892220304,0.11586110587203959,0.017077133928371003,,,,,0.07723647813481715,0.057352239381521966,,,,,0.34397075598803584,0.02439269298799905,0.6007966334127067,0.02963638676716225,0.5090884472326227,0.019937336843264004,0.3481869052475749,0.034919880341411275,0.5610301088359828,0.020746988787960306,0.7271133818661004,0.031691477195137645,0.4223668389406014,0.06369384444720046,0.3743531093898905,0.02328962343639774,0.5289791233781974,0.04920826713837075,0.35758465723998506,0.05218480954441617,,,,,0.17447718426599998,0.05478252250133553,0.22144119248483887,0.017293183567241445,0.16801932005762785,0.031931890837535115,0.2007363891713721,0.052305381958453814,0.5450484291671971,0.07635817366472093,0.42814489953516505,0.012892452031155854,0.48915316334463105,0.04299968541383172,0.2572294392509798,0.019735506652521755,0.3215010208394603,0.011841967263986045,0.4330292601240949,0.0779594163807777,0.1211189449283762,0.0132584582463797,0.6534239008467874,0.02013515086170395,,,,,0.16803487423901933,0.02701521293686774,0.2871912960677571,0.052266179631613265,0.17208928565590986,0.039607169144675755,0.2892223317692651,0.1025011277698202,0.27648079214892957,0.08038988493421065,0.16507562654169441,0.09225487480930934,,,,,0.15570952265897636,0.0600388653665282,0.33598009902886355,0.023603258772413874,0.19900768478118505,0.01879394988820906,0.4647184686914487,0.0610283637975091,0.07680292580176493,0.03694537234592565,0.1329830675773988,0.0697041960402533,0.48433705103721614,0.03710515384925664,0.19887843548402995,0.04325790480643155,0.41272374748184865,0.07636308365543223,0.206438326198017,0.08514056217079502,0.18236048623887777,0.04613564276226853,0.12498456824537937,0.03859101797066285,0.10228002406260202,0.015879525312767328,0.33976700069171567,0.05731285638864699,0.1245105789231522,0.028493681730532686,0.29447599300630534,0.07793484315824593,0.4087081827384857,0.04922615449305077,0.36328768193842526,0.04645001590453651,0.08890163742445335,0.06843827578727124,0.35143703759440353,0.04965024388394172,0.4348195484924528,0.06227390749141252,0.4054198873271646,0.0580243984317773,0.059302688267437904,0.06642593423593812,0.1654003779443447,0.02248090958331751,0.19807096582220737,0.08116529134005576,0.5233693386331428,0.06616580841052598,0.2590786669756763,0.12692548126283532,0.493336788074948,0.043263216329665205,0.5482298465306935,0.06496165856443326,0.41091725033305915,0.05242411958077448,0.20059578454006027,0.025345512047398523,0.06939166812293378,0.054443163707877607,,,,,,,0.29637653900214,0.046995867998357296,0.2267614121574873,0.07213751035690039,0.29486114255377777,0.03239791275577521,0.4110201803692898,0.04749899776602607,0.2847400966737102,0.04660527690184387,0.2577125364562326,0.06804362885848424,0.35613402760438906,0.01847687766508358,0.0575947939695007,0.0519558064178904,0.2582915587334193,0.03592715326945559,,,,,0.5331211005354035,0.027050400991132664,0.3951250424933264,0.09462282064194097,0.5021499047632761,0.03774901829412414,0.34991253685755747,0.07264074140821478,0.4046936898851044,0.06480932353958098,0.14314629948301089,0.08107713707953478,0.4164384181961817,0.08496230087778019,0.385710389118673,0.05589252389844513,0.17552781737502826,0.015225095986549352,0.4002916832187491,0.04932628377867365,0.15387339099141936,0.05536196665305131,0.1629820926980137,0.03518014941094384,0.16286649528711736,0.10324920957429241,0.28032016500643947,0.046529052045659235,0.048663511192870434,0.101437530672091,,,,,0.012992319213181922,0.05123862409636409,0.24130337272979266,0.07773178751858037,0.14427570784227178,0.05054179453542032,0.5562388786976524,0.027719325041890414,0.26458594127568985,0.025315009317888878,0.6864884715989337,0.03655654020943433,0.11748863055253098,0.05679728854466784,,,,,0.5859582455852812,0.02032890413070147,,,,,,,0.027341458036599632,0.03827921700472264,,,,,0.17408830503310735,0.048544825151105066,0.07104711371772977,0.025406418466271462,0.012962793560502476,0.029316255703437075,0.40178011989315765,0.04011491363471803,0.2763525346097254,0.05348531944711282,,,,,0.18077311797397416,0.047064767247675554,0.1816122420158062,0.03683283568437465,0.4054814329141887,0.04739980343750634,,,,,0.46851250269700734,0.04698361183232391,0.4004502897592497,0.07845321370877549,0.5372475976938819,0.03526873986142942,0.42047697276247464,0.0990918575985569,0.1455803359832189,0.05968017406180541,0.43442132642601833,0.03169399384845617,0.27407489713642097,0.03826438638497794,0.2627769229751758,0.024983650484720493,0.15450039129939405,0.03799271142812089,0.14626969500424403,0.03249763008205638,0.1510389363315866,0.02581191464751432,,,,,0.5263117857040522,0.06983028094993386,,,,,0.32250200657741634,0.07124238572463121,0.3053379842828805,0.04699078989771339,0.4260650184337213,0.02017629352633907,,,,,0.5243595512013954,0.03558703827543208,0.2072022491567932,0.03496450079975945,0.06611622287665418,0.03671784352052892,0.4549387801511201,0.05068653389843378,0.12224994533949515,0.01924396368123072,0.2468151799539984,0.04912504338247316,0.5382412994471231,0.006317180979711151,0.4141964136604332,0.037977353169703444,0.3212215812175561,0.06507453416275212,0.285827842324131,0.07409674974764993,0.24758227212436548,0.05226693122951685,0.32862073737241715,0.03458770445445261,,,,,,,,,,,0.04281242397840294,0.050592303150904704,0.36418507080816864,0.0521516384696271,0.2429095682719309,0.08341229728845422,0.4062292905832148,0.0443322841912855,0.3658029099863183,0.027571911150781607,0.14253002615100466,0.007839516596470118,0.29365130259149086,0.05773006837346906,0.35527011396067193,0.03916492415025888,0.2007740592960198,0.03653092403229946,0.307105085193532,0.019063840921725264,0.43439307605543426,0.04224406895428632,0.13274699178498928,0.027381821550254877,0.20762976666472333,0.0572854196718938,0.5141808898271534,0.015143168321455897,,,,,0.09885120143686077,0.03208902727225102,0.37594412314073655,0.05517969386293732,0.1623004402272788,0.05840817560366936,0.2433153116371201,0.014285858291105747,0.3350763124094045,0.08720570648409576,0.55799824006287,0.01700381840522948,0.28342640751025583,0.046128166579946984,0.34847850247884593,0.023022289468875044,0.4110262677085173,0.048090583045579074,0.158951777572221,0.0053141939875890505,0.1252100764585542,0.028286694466564396,0.28501827441846395,0.04414338664566913,0.36950145184000555,0.02364591277753383,0.21985772121846378,0.014632917586805237,0.11665987250644953,0.005618660202252567,0.41776954794513593,0.028044564456587786,0.3036212168774864,0.018162736350600565,0.22136991935495173,0.017672005151077592,0.38329610463978,0.03538797702113927,0.23009285885980943,0.03567135023327904,0.3645610327426927,0.05550421304849378,0.0751671126918394,0.022463551209675383,0.10317028587187498,0.014453697528905327,0.14517521297905955,0.05053081858606526,0.15831602435952247,0.030611460175837785,0.21618531557705536,0.02893392717941973,0.14631049840369695,0.037600685391969785,0.5127769638718321,0.006517093843531779,0.37654730702889705,0.07754353882033285,0.3894761070179702,0.02775586876678089,0.22010801958836276,0.08616162012598,0.17446515143949817,0.02925233710711284,0.01627458290981808,0.011939519748048983,0.1566584023674683,0.04228637157015248,0.15814950151472149,0.041795890150170434,0.43306611377182747,0.06967110071059045,0.6000920930530459,0.04128685320647202,0.04087974762912694,0.043354239517486216,0.5837227899106324,0.012048804237466864,0.330750256190246,0.04792636260318172,0.14297522921444097,0.031000596233966435,0.34210454599987955,0.06486655141457787,0.409911433749328,0.02921715637069526,0.24219975653829218,0.014328822705741122,0.05833195472849199,0.051807598225077175,0.11659017126852264,0.00995286268897454,0.2786248291388476,0.02264138662439242,0.48519116305136056,0.07202805171836367,0.10591321901810473,0.026490857782952692,0.2251640208992842,0.07229641021145593,0.548934077582215,0.030050066136752557,0.610081094007578,0.032672156408059656,0.22022289501660616,0.019436854929254392,0.14453321044254325,0.07982053994872507,0.3166361389357924,0.012987836132543137,0.4014706080939738,0.029970525785799076,0.19667691497930004,0.027784749233064926,0.4773325061159772,0.017915408265139435,0.3355835448875327,0.030057414134745955,0.253340277914628,0.0780890858761307,0.20475041422703263,0.03365955095434357,0.5601905296249493,0.04126063873804639,0.1205909548135095,0.025504916245309043,0.1933051502791638,0.05984914619717803,0.18609701566520861,0.049924889314633694,0.33308326620482587,0.047455392886024496,0.3920982207552235,0.04212214711911899,0.11398052667175956,0.013756258652987682,0.4070791966553274,0.035877957279632285,0.37074003617478296,0.027320769191599013,0.10641806231751752,0.06173005656223519,0.42822082030151415,0.07752515029552504,0.2159037245211232,0.031175327808767406,0.2517250987412111,0.006619878106861938,0.4395914289515908,0.020210885856087223,0.3723298931653204,0.042049273115516664,0.1585310767698555,0.02618650921750442,0.09034897802213572,0.06609288622397372,0.3056255681370246,0.04948416808903866,0.28401226783373734,0.06322115408600538,0.2885748650091498,0.04694597639621347,0.3102540154111077,0.03774858991324785,0.37230455294159015,0.0571954897620179,0.3667180041235985,0.026362288722284466,,,,,0.49373882763828497,0.04343894898716665,0.5120464573313782,0.03028969287762025,0.5159280660380107,0.032822457935927626,0.1729859286892007,0.015193386628853816,0.36619321130642973,0.04281039985827002,0.5532780528247963,0.03646497316652812,0.5351416691220681,0.024472339585048176,0.22793268805995012,0.03756946669303963,0.1954788096946749,0.03576819070017827,0.558898734786221,0.009908616160310713,0.25200911095468576,0.02906730753738952,0.458554184624084,0.020136544436606136,0.08639667220624746,0.05514195459658042,0.39571961852909565,0.03340376140116804,0.17458122572573428,0.028799403576606104,0.4172654846932685,0.04303001855255168,0.17671363546536267,0.059199573563599006,0.7222225024764444,0.01763447257439987,0.10543388395455872,0.043584353917167064,0.5152813922991699,0.08037857194311653,0.5280661964412808,0.020901472232823008,0.366943573759159,0.019894007489174772,0.3685683333187839,0.041322654479941594,0.5285557847087888,0.05755966707132136,0.49845623239320025,0.05783629783098602,0.3259461720303844,0.0863627439814959,0.4027494548691436,0.035416642961873225,0.17556211555860463,0.058054569564117364,0.10786684495962084,0.031154643361467393,0.4023576996039911,0.008188087331749217,0.48863866609204715,0.021546019475439947,0.46787179504060866,0.032619592169865715,0.22859928086685682,0.046633153907361245,0.44105026273755543,0.06045896496378822,0.379054113903851,0.024148839724183142,0.46280281651382954,0.033480944658259564,0.45433136461021423,0.04608284637441361,0.15550303416895833,0.03664425220105975,0.33195564016150186,0.025851033831859823,0.10992773300097879,0.020048404590150646,0.47202431069637074,0.031155640643042687,0.33673120527361244,0.06548028857943419,0.29439433490768957,0.03986640350895653,0.49940697865967826,0.0430371899109641
root//100163,0.04363438963777992,0.030600913571728637,0.16496660873400654,0.022255667107139096,0.1578214416228947,0.045841104845869445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264157858511146,0.016600201860388845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23009894428645766,0.011440559950593994,,,,,,,,,,,,,,,,,,,,,,,0.16296296532209203,0.014206300138614236,0.10012465791315231,0.03563576102244486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0877416526025871,0.09219652573968591,,,,,0.4392450444882677,0.026590545456357244,0.3316369632625868,0.014653411683310382,0.14631263805202452,0.06428280260517638,,,,,,,0.13274315632405825,0.02151842792721435,,,,,,,,,,,,,,,,,,,,,,,,,0.21469067540936831,0.04006359166462118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2166751672531951,0.06440196602766098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3301824096055519,0.011723921331308508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047299267864552366,0.07389665529650555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06618928988071351,0.049123117466220854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007834167261336551,0.03444290916608682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10879207753392324,0.07488849018301225,,,,,0.07685517212371626,0.021878915884380873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21481983257284906,0.02313074075994707,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1974946188862331,0.09592807065137002,0.2717410548534107,0.051836074165679355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1356014929291,0.0404106548527193,0.25608463679212673,0.038476130956772325,,,,,,,,,,,0.06042566054508776,0.04939027761615035,,,,,,,0.537926360273075,0.03754152757912876,,,,,,,,,,,,,,,,,,,,,0.2886968616592796,0.05116248982718816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17841711664219445,0.03091866778070661,,,,,0.2761020674547662,0.025421558561884338,0.5469421274884493,0.03847597907943568,0.48481753952642115,0.027670599662821253,0.19141335839657544,0.024725637612465774,0.31264045917057154,0.04440013480930297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
