id,r_0,b_0,r_1,b_1,r_2,b_2,r_3,b_3,r_4,b_4,r_5,b_5,r_6,b_6,r_7,b_7,r_8,b_8,r_9,b_9,r_10,b_10,r_11,b_11,r_12,b_12,r_13,b_13,r_14,b_14,r_15,b_15,r_16,b_16,r_17,b_17,r_18,b_18,r_19,b_19,r_20,b_20,r_21,b_21,r_22,b_22,r_23,b_23,r_24,b_24,r_25,b_25,r_26,b_26,r_27,b_27,r_28,b_28,r_29,b_29,r_30,b_30,r_31,b_31,r_32,b_32,r_33,b_33,r_34,b_34,r_35,b_35,r_36,b_36,r_37,b_37,r_38,b_38,r_39,b_39,r_40,b_40,r_41,b_41,r_42,b_42,r_43,b_43,r_44,b_44,r_45,b_45,r_46,b_46,r_47,b_47,r_48,b_48,r_49,b_49,r_50,b_50,r_51,b_51,r_52,b_52,r_53,b_53,r_54,b_54,r_55,b_55,r_56,b_56
root//1,0.03413611002482254,0.001398949531119453,0.026398563273482296,0.0022609114642295927,0.028808375771397235,0.000499011009658148,0.01793384357027596,0.0016030568262257981,0.020765174636566828,0.00037756998684421135,0.06147350632630519,0.0010109597470041188,0.01785175557640491,0.002521891694822454,0.0115986344679087,0.00011398327400739133,0.08163249896133733,0.0014881770692570604,0.030114262595107903,0.0014419851184309424,0.02428209222906575,0.0020025166626994055,0.018373853792878817,0.0010972524981265937,0.01559288811181861,0.0004218369827514581,0.01805062060657415,0.0004315083345055564,0.01335821771294205,0.0004918821818518827,0.023311775411248525,0.0011368381465309205,0.013961052492117572,0.0003626479621952534,0.009377735948402532,0.0014407039815695305,0.010130904360632126,0.00031086216269198187,0.039974721650495884,0.0021470928298312117,0.02643618709322803,0.0009092117865177036,0.013525482302660548,0.0012411093100760393,0.008971444517716583,0.00028169707322702267,0.007321878987481315,0.00018678532157958948,0.007891445948249249,0.0011501825530755364,0.043801889565689915,0.001130181166224427,0.005621462212553718,0.0005329061998238663,0.010937710081107024,8.011350514827329e-05,0.04414218414300567,7.370210333807024e-05,0.006813906140747321,0.0005690020979056535,0.05775271056023734,8.734114812284213e-05,0.0032570253111258427,0.0004524812371376793,0.005678137229422001,0.0017638253509107598,0.010109299750426971,0.0022090201095862883,0.0073661056636671685,0.0003744267903926164,0.01942478132958586,0.002640936745692928,0.013362627663488249,7.315928806369778e-05,0.006533601221830168,4.2093083812807767e-05,0.0012862413788395845,4.0148732795871125e-05,0.005401415313808531,3.926906893045339e-05,0.0036156410053786946,4.7724945702628125e-05,0.0050724566873746445,6.678612074943888e-05,0.005156831267378634,7.385707576182553e-05,0.0065687694035881155,6.496167506185236e-05,0.0044588547734224285,5.776569047288831e-05,0.007286947302107709,6.254169257587024e-05,0.00641712822256979,5.712400015396597e-05,0.002548962327785716,3.0180370288381733e-05,0.006003210550291627,3.165093931901517e-05,0.005140531075151584,7.703913775663227e-05,0.0051113365589574005,0.0001300377488144729,0.0021268824757161614,7.709009116793076e-05,0.0053870860790104355,9.856788751049879e-05,0.0022592591318871392,9.540044731670404e-05,0.014342314949663083,7.355473571649073e-05,0.002679616951522935,0.005417931913230522,0.005414380674904094,0.0008210836736444819
root//1004,0.7198538978962531,0.0167788114906326,0.6881092673913977,0.01795060048283421,0.7105705443816096,0.01044036108313119,0.2863688767195672,0.014808294238544033,0.5634822064939966,0.012064795438028408,0.6344788575133052,0.020681976944703903,0.3035269674827222,0.01813291828671601,0.6718301398576785,0.01101039609496491,0.3949263490348838,0.01489988968781343,0.7348913886574197,0.018145334900675162,0.6245716342699756,0.01705114570081673,0.38797135860308074,0.015297201471949518,0.7051533919950167,0.018561750457536823,0.6626593262427549,0.016090044826847182,0.7371741901479991,0.00825598798920154,0.6743851284498366,0.009895830123071192,0.5375933673877885,0.010576051953807637,0.08720302709902167,0.011419052480428288,0.18480732455013832,0.011303551868949928,0.5984816596153479,0.0215439728071992,0.39396918322391444,0.004495491882890381,0.7271681662041877,0.011932299752229484,0.30124825945218286,0.01025261646845383,0.7579811656160342,0.003931456463703125,0.13767153195380072,0.0027611888039195853,0.7347891721123629,0.00566368525670841,0.23644098957643353,0.010732245830137708,0.23586486895179773,0.004128039833462859,0.19089835101777983,0.003961435815099156,0.6999187247650536,0.0017241659750183319,0.7806529193520266,0.014647917246014134,0.10807648687751836,0.00391114885794737,0.15295590580248666,0.002585063084597911,0.16000228411030415,0.004794473884625075,0.324805740367942,0.0005362987131927406,0.08497526164440128,0.0015265713044794024,0.35974618419707977,0.00042084358334420124,0.06305124336232168,0.001736028509843451,0.08335209593058167,0.0023429418086600897,0.2179661696191074,0.008020424940555635,0.13582565024545193,0.0013550795681369781,0.09534631807446589,0.0009666329223930188,0.07674744466868035,0.0016286937663433413,0.10174414009959641,0.0028544212707803454,0.28205693118314057,0.002389792241183715,0.08902698948047516,0.0017467530376949084,0.27714840533921503,0.004204705840961781,0.1027175945642633,0.0064475703974564294,0.0645136885058467,0.0036375457230866538,0.13043374722969742,0.002256123042453365,0.03713721165138056,0.00222594027520629,0.03240140418048039,0.0020877987302664485,0.024073648222484895,0.0036763536070749925,0.05769093470450467,0.0006826912459369334,0.040766359021148925,0.0007763501807667276,0.029479990547031133,0.0008489876648139068,0.07668097884242767,0.0019889563778428937
root//1009,0.6778020496876765,0.0156545839889898,0.6514713906589649,0.0190658658861752,0.5410292542628944,0.011304954622227288,0.2915787405894409,0.014876236568749123,0.58630822602394,0.021554791798190535,0.6161696673831564,0.011744446617844675,0.3400248372423468,0.014817331510548168,0.38172275042722753,0.011413575945044737,0.19615705010241655,0.006202999846132069,0.43477168391907056,0.008553736096736037,0.4564550797868243,0.013266776210038288,0.3460049414590021,0.00567155881361256,0.41805921218222825,0.012459657573128816,0.46525602387494297,0.013206102551704341,0.42692667656530253,0.008520329747955562,0.4434186029767534,0.009049031835907086,0.408222723478791,0.004264987243887041,0.1845487679123289,0.0072366557118611,0.07817319596828151,0.004082206124212404,0.6054004285304146,0.018407146853198816,0.4059259196385396,0.012542549491515209,0.7572669088003944,0.01276940580073822,0.39037886575243946,0.00798956820364911,0.8274921534104361,0.009487232510536917,0.09328909021686416,0.0045839241309643475,0.7759526234760789,0.012580157817859792,0.3163702091400238,0.007347453762853422,0.22223238289333516,0.0033853622062588263,0.2085480781362459,0.003388057332406599,0.5333327828197975,0.0025267356195112414,0.4884709486552656,0.00717785961434932,0.11062977070117515,0.003953644475141472,0.20157961076297612,0.007587779776271139,0.3421290172108636,0.005876449123546378,0.7527029264933824,0.011176867420704147,0.08263156265294838,0.0019541089698404575,0.6394575209799891,0.0026643536661739684,0.13898343187800435,0.002740003352328318,0.14168191803133914,0.0025186674243281113,0.06835644075147676,0.006042346909996704,0.06436738649095737,0.020232882437473367,0.7677466676093799,0.008946052871951838,0.05016766902889465,0.00022183692504317853,0.0924275860307136,0.0025290098786149777,0.3550371571465612,0.0038608721991204844,0.0768086354050201,0.0020484618081878245,0.25138272641567166,0.002720649250268791,0.04614910647700457,0.0001773049197419676,0.07990324007857566,0.0007644580591375314,0.02891936257782604,0.0011439738151415597,0.03950724847897509,0.0007271710757637877,0.0529821829553659,0.001770061738104204,0.02372945047191151,0.002541628585407652,0.029924227728442616,0.00300361709921388,0.022213590666121562,0.0006067441904867562,0.026610148902346222,0.0024956491544462418,0.08328695955311316,0.001230415497014676
root//101,0.3101914476508533,0.007820128467865213,0.27830992353105494,0.008065901364007297,0.28762082050587,0.006061354080009357,0.12491376874980792,0.0029912604527604927,0.2925088338276419,0.011950115223672451,0.25919891801847833,0.005730720842902007,0.14449425175638764,0.00423801949818555,0.142002603796926,0.0013486714045071232,0.21098573584444968,0.006109103718426514,0.2248896825058761,0.0015244743990175651,0.8256447059396176,0.002504635290398913,0.8398465242607809,0.015739166106695922,0.77169079864555,0.0012563459655012574,0.7794060033872866,0.0129327705541947,0.23389822343471656,0.009703126021832759,0.7526547520183449,0.015235456290117497,0.2918497494832434,0.006427360495045585,0.08355292409867865,0.009460062931741519,0.08193968064889873,0.007596172553901322,0.6342695249581979,0.019221940611443528,0.5698821247688827,0.009584480676774584,0.16384346110568174,0.007536287672941883,0.6102904515416846,0.010733035538675214,0.15163931783460805,0.008777780142498791,0.27484838616497403,0.006180934811998437,0.6513277087631585,0.004299869406536351,0.11936537908563107,0.002915848732551826,0.21482459143590021,0.005229270282872929,0.20905078585099726,0.001821629516641909,0.5789410742300667,0.0013782052417050483,0.5477823227063284,0.0025830517015859116,0.09664100848963247,0.002743868785668089,0.18586112561947762,0.0057626855567171715,0.18505703823168176,0.0010810041676887231,0.6090274878355854,0.005511668186823184,0.10136200420302391,0.003186428529842731,0.6146655119997464,0.0033926348611349917,0.1018595108758554,0.0045372176374797344,0.05753008783569043,0.002068079002884749,0.044842990155760806,0.00154183480178847,0.09334192563862091,0.0007283235899148396,0.05400209520835263,0.0040508532588181805,0.09574747228592415,0.0009031772012641127,0.11122048506373067,0.0016179992500525546,0.6669303060409372,0.002167813337686534,0.05418570908842485,0.0017787219654678522,0.24579444211607396,0.0012469763352185284,0.13083235292352954,0.0010002677972538784,0.04517931335182049,0.0009594214005763422,0.042901416735187575,0.001555080214260674,0.10011954915475489,0.0016034778045759986,0.09436774803614872,0.0008871018649805429,0.028111634428016022,0.0005988208860691351,0.03465298647980435,0.0014609200747717254,0.0767543542435277,0.0023017777309609,0.08033504450618244,0.0012932294055028252,0.36207674522284655,0.0015668923100974927
root//1011,0.6899342264936982,0.019461478051829368,0.593694884446907,0.013527926844415386,0.7199207160761522,0.016442865031335695,0.14440881751708742,0.015158296407527043,0.6937333083633203,0.021158664702226625,0.6904692543893837,0.022129629537275677,0.26144953239692387,0.009474644656107763,0.6221843305309992,0.01078719631438512,0.40829203030650485,0.01678785666931721,0.7166386156297518,0.021499955061676224,0.632530186614238,0.024337960226593285,0.6057520713724838,0.013747223642392706,0.2148835219106298,0.002686510828403733,0.30905395985614637,0.007007814265569128,0.19066112097234064,0.004006203107353274,0.791498014271022,0.004059137190513583,0.7677004299812796,0.024013067453172884,0.11538250092437634,0.01946011644092819,0.13478842273980934,0.016566747741851996,0.6437458120522715,0.03350428274291264,0.3410163569839921,0.010224357795819388,0.6571062474105109,0.01358900386197166,0.1931786146215046,0.004416419819676521,0.18575715120746208,0.003906181736674996,0.06419214261349333,0.00659644010854638,0.29086118017854834,0.002254697334105546,0.07102071504789398,0.0028554221284223216,0.10535192861211877,0.0029007471867923402,0.1325938567989218,0.0024446478712703604,0.34712828092591047,0.004296238290205883,0.3548858103962028,0.0021103676608369695,0.14213768348799802,0.0017607089087521447,0.171849196779657,0.0032209940485321002,0.07480986047742576,0.0022757552394389122,0.3292146984749841,0.004709093427269731,0.07534212918539303,0.001652128086657802,0.35524515909344345,0.0018962862943115964,0.12619915817730493,0.008249640444378491,0.07097597131208945,0.0008643401582900861,0.08906962410517484,0.00034117361259009395,0.08991825564962977,0.0002844861887405951,0.06195484280392295,0.0017098646617646977,0.0747146378327598,0.0017770497213006177,0.09704199596126466,0.0017400281774950534,0.2598580851740579,0.004922879575938439,0.08296939035834036,0.0051859138733878745,0.30953135127302805,0.007310986448439763,0.08598011209502128,0.00255061730806078,0.06827579365926907,0.0019983758377209596,0.048960871814890304,0.002398068774285539,0.05556153560571547,0.0006229179124957906,0.03982408776555719,0.0007632622844126676,0.08014148826081362,0.003771071685966295,0.030884270465805237,0.0022826515992129823,0.037628394855606914,0.003698850275210971,0.027255135258545973,0.0011458840731536893,0.04525517610463726,0.003026157599352246
root//1015,0.46732361587724086,0.014634598534560391,0.3679808093508351,0.008061880954346535,0.38303086038043693,0.01041268129169435,0.10576627390656101,0.006898554499574287,0.3417895204200225,0.008156658128082039,0.3146842385251989,0.010527795217870197,0.11047734607583089,0.003069802732806613,0.19484040884872847,0.008030742624257464,0.16892392435602685,0.0034247798537961668,0.29309534218166017,0.0029486194934091065,0.3064680203164403,0.0035241601158091003,0.24273172875646348,0.007711607334029073,0.24093243916373613,0.0046441295561644065,0.3389959143648829,0.009775299743681243,0.2905244924733993,0.010361030682226081,0.341921560870652,0.003091251258524211,0.31546408935440895,0.0047088988604502835,0.10378082444457849,0.0031223647235467103,0.06771267721126167,0.004221273057169972,0.34175078069410286,0.009059763527923145,0.23511374896295692,0.005128239931907094,0.24551074322212896,0.006439534964733797,0.22277564263721727,0.002625667532313712,0.26830367657821363,0.0054249718932947956,0.0804034024022477,0.003058345300960529,0.30613127435284615,0.0006564184641710936,0.10661592209658313,0.0012225109935693743,0.09293934928496045,0.0028411549017681678,0.09309662703273429,0.0034354644471778456,0.37521286080256633,0.0027223606898440795,0.37693235469211545,0.0033163980171928022,0.07981420941621592,0.0015574489721331159,0.10327421855579239,0.0028999062044827257,0.06486428553913609,0.0022452141282368956,0.3377560584300949,0.003338984025479419,0.09372212261000372,0.0004406967087275672,0.39637245134879495,0.002936773495021817,0.1747717186964613,0.0007660782091984494,0.03816403570851432,0.0011693862198269274,0.04209584230356881,0.00026903959441817055,0.03472779885975057,0.0007535237323340302,0.062242654166521465,0.0016488025181995499,0.06884002918960161,0.0015153000194977524,0.05630777674513369,0.0040033970682273115,0.32378575627660156,0.00302221502552807,0.06529460941396266,0.0011911523205315898,0.21108187966753003,0.008539821065635377,0.04342546314385015,0.0001965143835188448,0.02527006309355667,0.0022737589294634414,0.03919513807990751,0.0006780193883004971,0.04473754493882369,0.0013920031718847497,0.0450724931565689,0.00010103695723303649,0.029501502550353317,0.0012967109727002896,0.05145444820684355,0.0016226150495563178,0.03637251389949598,0.00039097843730658525,0.01953273025570702,0.0008708949545929095,0.028530415073723184,0.000830750440175767
root//1017,0.34489111941540695,0.010712388978164376,0.3385784740197711,0.007503133538248786,0.35292476056048955,0.006515128114006471,0.09204008311082121,0.0041306931509313295,0.3589675593527807,0.005802837984330805,0.3564500289558323,0.006974872525151744,0.09546042974604697,0.00963873892497128,0.23212854588233633,0.008432856900214884,0.24567028329891308,0.003241569884055352,0.3210179341160134,0.003150068098510201,0.3239552195991496,0.005729032891875759,0.2215690408473775,0.00703346093212254,0.23210317698979788,0.005989251396752151,0.3118667742927234,0.00891253631138956,0.24261128038833257,0.007626215846076236,0.3222746210931484,0.001970028421158033,0.24933920905440668,0.0043511774257017,0.09294269100220108,0.004240719594611427,0.05617500270971094,0.002690680174784464,0.3372477314725557,0.00819967690736966,0.23462245029433168,0.004322543432993316,0.2559713945370294,0.0017640374566514833,0.2889228670251799,0.0036065884370614213,0.32100862914095285,0.008075610468622037,0.11832819132611737,0.0019080044009222622,0.2948164730956264,0.004093432655332337,0.06841897752128463,0.0072803941578519675,0.16015726584095094,0.002416591477504152,0.07620332131986808,0.002108745713590347,0.3484329786246695,0.002236537909121775,0.33593438191048913,0.002680095538799822,0.09504729877558452,0.0018765449105748605,0.1752287480499766,0.0006492652605584538,0.11467424738434598,0.0027874443257020175,0.3828224628124981,0.0025587176852742617,0.08286535051551426,0.0024488718167228695,0.39096854477628246,0.00048024760415624906,0.13152978380417982,0.0009812753480474034,0.05544156018198109,0.002850317637799613,0.07136670354639234,0.0013128954785256428,0.09979693507902168,0.0029228629673249433,0.04166727184101821,0.001256856890790856,0.058512156290749434,0.002474629971338913,0.15599840375552912,0.0016589539749763617,0.48945947135962914,0.001700691847109381,0.1115239070633613,0.0015221994600903596,0.4345316633035231,0.003172893783197646,0.1115699856430408,0.002140494761331806,0.07059339273352573,0.0012997009197140712,0.03549319809185255,0.0015586266760344186,0.14905636290009208,0.0014657442011945865,0.025481848906329593,0.0030525087501376666,0.1496769821678667,0.0016755513629231767,0.033420997027495604,0.0013599762231292563,0.027027222434648078,0.0017892922405522925,0.017230962883627934,0.0012789397828360976,0.03063090103957321,0.0005886758058233511
root//1019,0.5213538497841274,0.018746844419909,0.5159084158973062,0.011021451127519198,0.5642592728685546,0.007059056750323216,0.28384607713668375,0.013980590211643922,0.693700593903024,0.01872361790396342,0.7811962803287249,0.01066042467951965,0.2806095401018131,0.012690921218809888,0.3021055446035552,0.010629940242850916,0.7256233777569363,0.014271181798988997,0.7317612784053973,0.011601041026332234,0.8075938579159275,0.015604343875604044,0.8123471483058176,0.014654598357565345,0.25026320038438865,0.020797934529282584,0.6837178329790314,0.012442886611640648,0.2128509289738925,0.01120407314719622,0.5833314554630719,0.009666173799357176,0.3134974452918133,0.015607277043692816,0.33508732233712185,0.011548083659307725,0.3225898819461827,0.011102554703086584,0.7599460889789316,0.01920716689482049,0.7817810616534345,0.007930221172636703,0.15764973042722666,0.012125245340541024,0.8042997030548165,0.009440062030510971,0.17103815192508967,0.006587779007196838,0.3541060715057035,0.011920963676949961,0.6785305373498244,0.001401070079670408,0.07799669253767673,0.0023863571858229273,0.24332532132873216,0.0030606844218406095,0.2091003863417964,0.002010380078286706,0.8328465784375881,0.0013311045825097538,0.8054986302333468,0.02172333819297439,0.05999365323260417,0.009373396077304414,0.08526374629610686,0.016361441553855362,0.06906267590246852,0.014107920367573846,0.7415214916623086,0.023019406253204186,0.04354832182682557,0.017782802081276073,0.7565076343992253,0.009562867372359446,0.05241540576718705,0.020312952774226643,0.06465370744447299,0.01858472927961856,0.03498314431591439,0.0217416257077107,0.02412234565733364,0.007605719875174434,0.040152802401776676,0.011581361001219585,0.05049084077028233,0.010100387152212929,0.043921870853573804,0.006346473395940356,0.7475826788330752,0.015596062171361074,0.04004996948182652,0.010657294979484928,0.07970551863298783,0.009837274613194256,0.05191781492188214,0.002201782389945703,0.03148222349438003,0.01808773354712237,0.028887815093146012,0.009401656566995627,0.04080460485337945,0.010432851557561629,0.07954023144549416,0.009928441581243503,0.037996679432183766,0.01271122407136556,0.7963154456316643,0.003257042117619173,0.020613149748683106,0.00011111154516556036,0.029935013983040284,0.002187390612873204,0.02356031925651072,0.002833884919778032
root//1027,0.8517032059099565,0.015896243658573103,0.6547804806212617,0.018477118047129742,0.569686393059505,0.011206605245537495,0.10652572351914885,0.008672680451437069,0.5198402384873696,0.012138874947585808,0.5214810333861721,0.010651430997785828,0.11755928788419251,0.004416792952110946,0.2327135484148251,0.004264906930185051,0.3714878907840993,0.011073495580082603,0.30698949587772956,0.006241605663917479,0.3792405199628074,0.0049831794457769986,0.4019859923832048,0.005016223187720541,0.22770218854711927,0.0088092626975318,0.3726620281427299,0.008317662486104436,0.24783784159603753,0.008992850904346721,0.36131587236343665,0.007235158427884977,0.23905176490249488,0.007915615930246157,0.06891535273434138,0.010249071224990466,0.057512927835591324,0.006804111831958219,0.3413988004253553,0.018947435950957273,0.37185442710295236,0.008821768653620964,0.25565675646314673,0.009502781170095464,0.4377269867416709,0.010325196302834535,0.17094097542031372,0.0019414044316964064,0.057717450116284874,0.0028984530469201996,0.3870901674579774,0.0024753018175490103,0.09509541491991183,0.0042261502992065455,0.0512838222401569,0.0014796287575799354,0.058129016668650134,0.0042410181122686805,0.39753783579780344,0.0018899731716810451,0.39375975386977397,0.0005235981550199872,0.15509644394721175,0.0027708057658663125,0.1877343679759503,0.0023582753016555174,0.07327927650861134,0.0009872401421948031,0.408788253642442,0.002615499608387292,0.0787067167040665,0.003099804752851484,0.3987573019641944,0.0013287862812864468,0.11404143353464985,0.003040976383104799,0.037260557916174566,0.002887269035190883,0.044914087832782404,0.002194634670804875,0.03606147085047949,0.002805356708234051,0.03786033588848817,0.004646514420267674,0.03910676429866999,0.004416504296790107,0.2674075682764204,0.006969396536328311,0.5982732330241726,0.0025938695835183807,0.042081533683234015,0.0016823285675019977,0.286210156977944,0.0017085144809345914,0.0949534679923926,0.0023725682819338376,0.031425555793012774,0.0023091880363360255,0.018457019501207997,0.001003812662680206,0.08299154280036325,0.0011493972233466794,0.025847133423101906,0.00021985491439761905,0.032073798344466074,0.004532952516336399,0.03360296297341392,0.0001491832384747213,0.02457102805309752,0.001017129658481429,0.033129042582467294,0.0025025869747662623,0.0870239832095265,0.0019498179526327628
root//1030,0.26990339831631593,0.009332259534056092,0.26136319321867457,0.012116052938688423,0.2837059762326279,0.00298316816808996,0.13645150010808166,0.004908317815021843,0.25962312049454006,0.005319985234965137,0.2718198041555924,0.004783758960128983,0.174271995687849,0.004163126331726951,0.15781852698890647,0.0054397573376181105,0.19693312703056046,0.002181771659024142,0.27304350097282104,0.0029343274250670415,0.24149653967064186,0.0025033078088821294,0.2239764244143008,0.0031987299530991282,0.13779265466488355,0.0039894926483731215,0.27091924730464634,0.0012904031712330027,0.1470152331704822,0.002800571668609421,0.27315985621231953,0.0019791752210513583,0.17521134979582703,0.0048248479964017234,0.12534062351423472,0.0034392810836246348,0.06963052248078336,0.0031564653508150764,0.25150050986422856,0.0026159513220856833,0.2169623018749624,0.003394190796910296,0.15250897851757944,0.0037398859819600663,0.22284504763701318,0.0010062664833674117,0.15993351506487902,0.003986228502008386,0.09242345215577225,0.00780674825448393,0.2759862857089489,0.003828781245551874,0.09725605717467191,0.0039959819137066034,0.15759460074977846,0.0029135214825186193,0.07364647190076512,0.0008677484278976188,0.34919839759104415,0.0013763786354267292,0.3573652757912903,0.001995539396616082,0.08581091404131905,0.0030762685145549417,0.09398035243656333,0.0028707076285098177,0.08347667481449067,0.002577588722692541,0.32936346186762905,0.003870288621865847,0.12157819429342294,0.006901333696601833,0.34716001186655165,0.0016656138146648697,0.15338793722926428,0.0030955479026209113,0.058281970691494545,0.002537559522782504,0.09360353579159288,0.0014343378171139372,0.052121781421122296,0.0014231006977478045,0.04886637049241559,0.0028169644425198094,0.05589591060542924,0.0010762543783562465,0.09603937367172229,0.0018013089884089078,0.40677196299134166,0.0065883109421403995,0.1528255702671653,0.0012573433612680929,0.3692637340109738,0.002349755434324886,0.1407173084997019,0.0010863750434144546,0.07906675041091714,0.004081930253241262,0.0427615477532694,0.0012190154251379506,0.04573995919730374,0.0017468745340663853,0.06832751498664948,0.0013828461728695087,0.14814734752437983,0.0016225666174682807,0.04053077407643039,0.0045322074048868965,0.07890134965225212,0.0029266747374988695,0.021179766194722192,0.000705983302621606,0.03636371393356467,0.001083079158977831
